# DİA (TDV İslâm Ansiklopedisi) transkripsiyon sözlüğü
# Sütun 1: metinde geçen yüzey biçimi (küçük harf; ' ’ ‘ ve â î û işaretleri
#           eşleştirmede yok sayılır, yani "ef'al" ile "efal" aynı anahtardır)
# Sütun 2: DİA transkripsiyonlu karşılığı
# Eşleştirme "en uzun önek + geçerli Türkçe ek" kuralıyla yapılır:
#   hikmet -> ḥikmet, hikmete -> ḥikmete, hikmetin -> ḥikmetin
# Yeni kelime eklemek için satır eklemeniz yeterlidir; satır başına # koyarsanız yok sayılır.
# ---------------------------------------------------------------------------
abd	ʿabd
acaba	ʿacabâ
aciz	ʿâciz
acizane	ʿâcizâne
adalet	ʿadâlet
adaletsiz	ʿadâletsiz
adavet	ʿadâvet
adem	ʿadem
adet	ʿâdet
adi	ʿâdî
afak	âfâḳ
afaki	âfâḳī
afiyet	ʿâfiyet
afrika	Afrika
ahali	ahâlî
ahbap	aḥbâb
ahd	ʿahd
ahdi	ʿahdi
ahenk	âheng
ahir	âḫir
ahiret	âḫiret
ahkam	aḥkâm
ahlak	aḫlâḳ
ahlaki	aḫlâḳī
ahlakiye	aḫlâḳıyye
ahval	aḥvâl
aile	ʿâile
aim	ʿâim
akaid	ʿaḳāʾid
akıl	ʿaḳıl
akl	ʿaḳl
akide	ʿaḳīde
akraba	aḳrabâ
aksam	aḳsâm
akvam	aḳvâm
alem	ʿâlem
alemi	ʿâlemi
alemşümul	ʿâlemşümûl
alim	ʿâlim
ali	ʿâlî
aliyye	ʿâliyye
aliyet	ʿâliyyet
amal	aʿmâl
amel	ʿamel
ameli	ʿamelî
amerika	Amerika
amil	ʿâmil
amm	ʿâmm
amme	ʿâmme
ariz	ʿârıż
arz	ʿarż
asar	âs̱âr
asıl	aṣıl
asl	aṣl
asli	aṣlî
asr	ʿaṣr
asır	ʿaṣır
asuman	âsumân
aşikar	âşikâr
ati	âtî
avam	ʿavâm
ayet	âyet
ayn	ʿayn
azamet	ʿaẓamet
azim	ʿaẓîm
azimüşşan	ʿaẓîmüşşân
azize	ʿazîze
aziz	ʿazîz
ağuş	âġūş
bahis	baḥis̱
bahs	baḥs̱
bais	bâʿis̱
bakiye	bâḳıye
baki	bâḳī
batıl	bâṭıl
batın	bâṭın
bazı	baʿżı
bedayi	bedâyiʿ
bedia	bedîʿa
bedi	bedîʿ
bedbaht	bedbaḫt
beden	beden
bedeniye	bedeniyye
belagat	belâġat
bende	bende
bereket	bereket
beşer	beşer
beşeriye	beşeriyye
beşeriyet	beşeriyyet
